                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4443,                 3.4259,                 1.5869,                0.50381,                0.48703,                0.48457,                0.25391,                 1.3925,                 3.3096,                 1.6605,             0.00055526,             0.00055526,             0.00055526
                      2,                 1.4959,                 3.0173,                 1.6082,                0.49067,                0.54897,                0.48674,                0.27261,                 1.3295,                 4.0773,                  1.505,              0.0010559,              0.0010559,              0.0010559
                      3,                 1.4972,                  2.525,                 1.5993,                0.29256,                0.53314,                 0.2838,                0.14623,                 1.3815,                 7.1799,                 1.5832,              0.0015016,              0.0015016,              0.0015016
                      4,                 1.4751,                 2.2413,                 1.5882,                 0.5412,                0.61322,                0.57513,                0.31432,                 1.3505,                 3.6829,                 1.5671,              0.0014195,              0.0014195,              0.0014195
                      5,                 1.4473,                 1.9841,                 1.5757,                 0.4583,                0.55441,                0.45868,                0.25738,                 1.2585,                 3.6059,                 1.4812,              0.0014195,              0.0014195,              0.0014195
                      6,                 1.3884,                 1.7894,                 1.5087,                0.57405,                0.58844,                0.54909,                0.29008,                 1.3038,                 2.4118,                 1.4577,              0.0013369,              0.0013369,              0.0013369
                      7,                 1.3452,                 1.6617,                 1.4566,                0.58723,                0.60008,                0.61496,                0.35322,                 1.2441,                 2.3444,                 1.4513,              0.0012544,              0.0012544,              0.0012544
                      8,                 1.3127,                 1.6238,                 1.4485,                0.64346,                0.63085,                0.63288,                0.37008,                 1.2044,                 2.2284,                 1.4269,              0.0011719,              0.0011719,              0.0011719
                      9,                 1.2613,                 1.4607,                  1.408,                0.72022,                0.58934,                0.67291,                0.40966,                 1.1535,                  1.752,                 1.3621,              0.0010894,              0.0010894,              0.0010894
                     10,                 1.2592,                 1.4466,                 1.3894,                 0.6221,                0.63604,                0.64447,                0.37916,                 1.2013,                  1.711,                 1.3832,              0.0010069,              0.0010069,              0.0010069
                     11,                 1.0416,                 1.0921,                 1.2382,                0.65164,                0.63058,                0.64114,                0.36977,                 1.2352,                 1.7263,                 1.3792,             0.00092435,             0.00092435,             0.00092435
                     12,                0.99766,                0.97747,                 1.1948,                0.74042,                0.70285,                0.72484,                0.43749,                 1.1089,                 1.4188,                 1.2893,             0.00084184,             0.00084184,             0.00084184
                     13,                0.97003,                0.90902,                 1.1823,                0.72178,                0.66582,                0.71106,                 0.4232,                 1.1238,                 1.4287,                 1.3154,             0.00075932,             0.00075932,             0.00075932
                     14,                0.93162,                0.84358,                 1.1529,                0.75812,                0.60441,                0.69476,                0.41406,                 1.1403,                 1.3408,                  1.333,              0.0006768,              0.0006768,              0.0006768
                     15,                0.90438,                0.78971,                 1.1231,                0.79069,                0.63573,                0.73874,                0.45117,                 1.1338,                 1.3771,                 1.3309,             0.00059429,             0.00059429,             0.00059429
                     16,                0.91141,                0.74403,                 1.1304,                0.77848,                0.67528,                0.76446,                0.46486,                 1.1363,                 1.2644,                 1.3243,             0.00051177,             0.00051177,             0.00051177
                     17,                0.85975,                0.71779,                 1.0894,                0.74509,                0.72747,                0.77083,                0.47879,                 1.1006,                  1.325,                 1.3025,             0.00042925,             0.00042925,             0.00042925
                     18,                0.82689,                0.67637,                 1.0617,                 0.7761,                0.67099,                 0.7384,                0.46917,                 1.0789,                 1.5692,                 1.2959,             0.00034674,             0.00034674,             0.00034674
                     19,                0.79571,                0.64025,                 1.0426,                0.75194,                0.65095,                 0.7233,                0.44009,                  1.108,                 1.3773,                 1.3049,             0.00026422,             0.00026422,             0.00026422
                     20,                0.77873,                0.62325,                 1.0273,                0.71852,                0.67927,                0.72676,                0.45755,                 1.0884,                 1.4874,                 1.2967,              0.0001817,              0.0001817,              0.0001817
